country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
France,2020-02-25,0.9285714285714286,1.7142857142857142,24.214285714285715,-5.214285714285714,-17.714285714285715,4.142857142857143
France,2020-02-26,-5.714285714285714,-2.642857142857143,7.142857142857143,-8.642857142857142,-15.142857142857142,3.0714285714285716
France,2020-02-27,-4.5,-0.2857142857142857,0.0,-8.714285714285714,-18.357142857142858,4.571428571428571
France,2020-02-28,-1.5714285714285714,1.6428571428571428,12.785714285714286,-4.857142857142857,-17.857142857142858,4.571428571428571
France,2020-02-29,-7.642857142857143,0.35714285714285715,-9.571428571428571,6.285714285714286,-5.428571428571429,1.0
France,2020-03-01,1.0,4.5,-11.357142857142858,6.857142857142857,1.4285714285714286,0.07142857142857142
France,2020-03-02,-5.5,3.142857142857143,-7.214285714285714,-3.357142857142857,-5.142857142857143,2.857142857142857
France,2020-03-03,-1.4285714285714286,4.928571428571429,9.785714285714286,-3.5714285714285716,-3.7857142857142856,2.0714285714285716
France,2020-03-04,-4.785714285714286,1.2857142857142858,1.0,-5.142857142857143,-3.0714285714285716,1.8571428571428572
France,2020-03-05,-6.0,0.14285714285714285,-14.142857142857142,-6.5,-4.571428571428571,2.7142857142857144
France,2020-03-06,-1.5714285714285714,2.642857142857143,1.0714285714285714,-1.0714285714285714,-4.071428571428571,2.2857142857142856
France,2020-03-07,-3.142857142857143,1.0714285714285714,9.142857142857142,2.2857142857142856,0.14285714285714285,0.9285714285714286
France,2020-03-08,1.3571428571428572,3.2142857142857144,1.2857142857142858,1.2142857142857142,0.07142857142857142,0.6428571428571429
France,2020-03-09,-4.142857142857143,2.0714285714285716,4.428571428571429,-3.4285714285714284,-0.7857142857142857,2.0
France,2020-03-10,-4.357142857142857,1.6428571428571428,3.9285714285714284,-5.142857142857143,-1.0714285714285714,1.8571428571428572
France,2020-03-11,-5.0,0.7142857142857143,12.357142857142858,-5.071428571428571,-0.7142857142857143,1.3571428571428572
France,2020-03-12,-6.857142857142857,4.928571428571429,6.0,-6.214285714285714,-1.6428571428571428,1.7142857142857142
France,2020-03-13,-7.428571428571429,16.071428571428573,7.785714285714286,-7.428571428571429,-2.642857142857143,2.9285714285714284
France,2020-03-14,-20.785714285714285,0.5714285714285714,1.2857142857142858,-13.357142857142858,-4.785714285714286,4.785714285714286
France,2020-03-15,-34.57142857142857,22.714285714285715,19.142857142857142,-18.214285714285715,-7.285714285714286,3.357142857142857
France,2020-03-16,-41.785714285714285,44.92857142857143,-8.071428571428571,-33.42857142857143,-33.785714285714285,12.857142857142858
France,2020-03-17,-66.78571428571429,-15.571428571428571,-33.57142857142857,-54.5,-52.57142857142857,22.357142857142858
France,2020-03-18,-82.5,-47.07142857142857,-50.142857142857146,-73.57142857142857,-65.35714285714286,27.571428571428573
France,2020-03-19,-81.78571428571429,-42.07142857142857,-53.857142857142854,-77.42857142857143,-68.64285714285714,30.857142857142858
France,2020-03-20,-83.0,-42.357142857142854,-62.57142857142857,-80.85714285714286,-69.14285714285714,34.785714285714285
France,2020-03-21,-87.78571428571429,-54.857142857142854,-76.07142857142857,-82.21428571428571,-57.0,24.214285714285715
France,2020-03-22,-85.28571428571429,-65.42857142857143,-77.92857142857143,-84.71428571428571,-53.785714285714285,16.428571428571427
